OrderID;CustomerID;EmployeeID;OrderDate;ShipperID
10248;90;5;2023-07-04;3
10249;81;6;2023-07-05;1
10250;34;4;2023-07-08;2
10251;84;3;2023-07-08;1
10252;76;4;2023-07-09;2
10253;34;3;2023-07-10;2
10254;14;5;2023-07-11;2
10255;68;9;2023-07-12;3
10256;88;3;2023-07-15;2
10257;35;4;2023-07-16;3
10258;20;1;2023-07-17;1
10259;13;4;2023-07-18;3
10260;55;4;2023-07-19;1
10261;61;4;2023-07-19;2
10262;65;8;2023-07-22;3
10263;20;9;2023-07-23;3
10264;24;6;2023-07-24;3
10265;7;2;2023-07-25;1
10266;87;3;2023-07-26;3
10267;25;4;2023-07-29;1
10268;33;8;2023-07-30;3
10269;89;5;2023-07-31;1
10270;87;1;2023-08-01;1
10271;75;6;2023-08-01;2
10272;65;6;2023-08-02;2
10273;63;3;2023-08-05;3
10274;85;6;2023-08-06;1
10275;49;1;2023-08-07;1
10276;80;8;2023-08-08;3
10277;52;2;2023-08-09;3
10278;5;8;2023-08-12;2
10279;44;8;2023-08-13;2
10280;5;2;2023-08-14;1
10281;69;4;2023-08-14;1
10282;69;4;2023-08-15;1
10283;46;3;2023-08-16;3
10284;44;4;2023-08-19;1
10285;63;1;2023-08-20;2
10286;63;8;2023-08-21;3
10287;67;8;2023-08-22;3
10288;66;4;2023-08-23;1
10289;11;7;2023-08-26;3
10290;15;8;2023-08-27;1
10291;61;6;2023-08-27;2
10292;81;1;2023-08-28;2
10293;80;1;2023-08-29;3
10294;65;4;2023-08-30;2
10295;85;2;2023-09-02;2
10296;46;6;2023-09-03;1
10297;7;5;2023-09-04;2
10298;37;6;2023-09-05;2
10299;67;4;2023-09-06;2
10300;49;2;2023-09-09;2
10301;86;8;2023-09-09;2
10302;76;4;2023-09-10;2
10303;30;7;2023-09-11;2
10304;80;1;2023-09-12;2
10305;55;8;2023-09-13;3
10306;69;1;2023-09-16;3
10307;48;2;2023-09-17;2
10308;2;7;2023-09-18;3
10309;37;3;2023-09-19;1
10310;77;8;2023-09-20;2
10311;18;1;2023-09-20;3
10312;86;2;2023-09-23;2
10313;63;2;2023-09-24;2
10314;65;1;2023-09-25;2
10315;38;4;2023-09-26;2
10316;65;1;2023-09-27;3
10317;48;6;2023-09-30;1
10318;38;8;2023-10-01;2
10319;80;7;2023-10-02;3
10320;87;5;2023-10-03;3
10321;38;3;2023-10-03;2
10322;58;7;2023-10-04;3
10323;39;4;2023-10-07;1
10324;71;9;2023-10-08;1
10325;39;1;2023-10-09;3
10326;8;4;2023-10-10;2
10327;24;2;2023-10-11;1
10328;28;4;2023-10-14;3
10329;75;4;2023-10-15;2
10330;46;3;2023-10-16;1
10331;9;9;2023-10-16;1
10332;51;3;2023-10-17;2
10333;87;5;2023-10-18;3
10334;84;8;2023-10-21;2
10335;37;7;2023-10-22;2
10336;60;7;2023-10-23;2
10337;25;4;2023-10-24;3
10338;55;4;2023-10-25;3
10339;51;2;2023-10-28;2
10340;9;1;2023-10-29;3
10341;73;7;2023-10-29;3
10342;25;4;2023-10-30;2
10343;44;4;2023-10-31;1
10344;89;4;2023-11-01;2
10345;63;2;2023-11-04;2
10346;65;3;2023-11-05;3
10347;21;4;2023-11-06;3
10348;86;4;2023-11-07;2
10349;75;7;2023-11-08;1
10350;41;6;2023-11-11;2
10351;20;1;2023-11-11;1
10352;28;3;2023-11-12;3
10353;59;7;2023-11-13;3
10354;58;8;2023-11-14;3
10355;4;6;2023-11-15;1
10356;86;6;2023-11-18;2
10357;46;1;2023-11-19;3
10358;41;5;2023-11-20;1
10359;72;5;2023-11-21;3
10360;7;4;2023-11-22;3
10361;63;1;2023-11-22;2
10362;9;3;2023-11-25;1
10363;17;4;2023-11-26;3
10364;19;1;2023-11-26;1
10365;3;3;2023-11-27;2
10366;29;8;2023-11-28;2
10367;83;7;2023-11-28;3
10368;20;2;2023-11-29;2
10369;75;8;2023-12-02;2
10370;14;6;2023-12-03;2
10371;41;1;2023-12-03;1
10372;62;5;2023-12-04;2
10373;37;4;2023-12-05;3
10374;91;1;2023-12-05;3
10375;36;3;2023-12-06;2
10376;51;1;2023-12-09;2
10377;72;1;2023-12-09;3
10378;24;5;2023-12-10;3
10379;61;2;2023-12-11;1
10380;37;8;2023-12-12;3
10381;46;3;2023-12-12;3
10382;20;4;2023-12-13;1
10383;4;8;2023-12-16;3
10384;5;3;2023-12-16;3
10385;75;1;2023-12-17;2
10386;21;9;2023-12-18;3
10387;70;1;2023-12-18;2
10388;72;2;2023-12-19;1
10389;10;4;2023-12-20;2
10390;20;6;2023-12-23;1
10391;17;3;2023-12-23;3
10392;59;2;2023-12-24;3
10393;71;1;2023-12-25;3
10394;36;1;2023-12-25;3
10395;35;6;2023-12-26;1
10396;25;1;2023-12-27;3
10397;60;5;2023-12-27;1
10398;71;2;2023-12-30;3
10399;83;8;2023-12-31;3
10400;19;1;2024-01-01;3
10401;65;1;2024-01-01;1
10402;20;8;2024-01-02;2
10403;20;4;2024-01-03;3
10404;49;2;2024-01-03;1
10405;47;1;2024-01-06;1
10406;62;7;2024-01-07;1
10407;56;2;2024-01-07;2
10408;23;8;2024-01-08;1
10409;54;3;2024-01-09;1
10410;10;3;2024-01-10;3
10411;10;9;2024-01-10;3
10412;87;8;2024-01-13;2
10413;41;3;2024-01-14;2
10414;21;2;2024-01-14;3
10415;36;3;2024-01-15;1
10416;87;8;2024-01-16;3
10417;73;4;2024-01-16;3
10418;63;4;2024-01-17;1
10419;68;4;2024-01-20;2
10420;88;3;2024-01-21;1
10421;61;8;2024-01-21;1
10422;27;2;2024-01-22;1
10423;31;6;2024-01-23;3
10424;51;7;2024-01-23;2
10425;41;6;2024-01-24;2
10426;29;4;2024-01-27;1
10427;59;4;2024-01-27;2
10428;66;7;2024-01-28;1
10429;37;3;2024-01-29;2
10430;20;4;2024-01-30;1
10431;10;4;2024-01-30;2
10432;75;3;2024-01-31;2
10433;60;3;2024-02-03;3
10434;24;3;2024-02-03;2
10435;16;8;2024-02-04;2
10436;7;3;2024-02-05;2
10437;87;8;2024-02-05;1
10438;79;3;2024-02-06;2
10439;51;6;2024-02-07;3
10440;71;4;2024-02-10;2
10441;55;3;2024-02-10;2
10442;20;3;2024-02-11;2
10443;66;8;2024-02-12;1
